Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.08,2124.027832,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.09,2124.585693,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.1,2138.223877,0.167324,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.2,1675.827271,0.169335,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.3,1512.459839,0.185952,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.4,1625.150879,0.188281,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.5,1459.106812,0.169181,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.6,1278.620728,0.169678,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.7,1004.021606,0.167717,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.8,858.038452,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.08,0,0,100,101,0.01,0.9,675.484558,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0,1949.903931,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.01,1926.933472,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.02,2058.374512,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.03,2035.235596,0.174015,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.04,1929.265747,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.05,1949.067139,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.06,2083.71167,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.07,1942.116455,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.08,1925.119873,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.09,1908.612549,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.1,2002.849487,0.181634,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.2,1676.223145,0.172332,DiversiTree,,,,,,,,,,,,
